sbox_type,trace_count,k0_recovered_count,k1_recovered_count,kx_recovered_count,known_key_bits_count,k0_correct_recovered_count,k1_correct_recovered_count,correct_key_bits_count,k0_wrong_recovered_count,k1_wrong_recovered_count,wrong_recovered_key_bits_count,recovered_key_bits_percent,correct_key_bits_percent,known_bit_accuracy_percent,all_bits_recovered,full_key_match,targets_used,targets_skipped,recovered_k0_hex,recovered_k1_hex
lut_allouzi,50000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,80,89,0706050423020100,0F0E0D0C2A0A0908
lut_allouzi,100000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,80,89,0706050423020100,0F0E0D0C2A0A0908
lut_allouzi,150000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,200000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,250000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,300000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,350000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,400000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,450000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,500000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,550000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,600000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,650000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,700000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,750000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,800000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,850000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,900000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,950000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
lut_allouzi,1000000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,80,89,0706050423020100,0F0E0D0C2B0A0908
