sbox_type,trace_count,n_trials,successful_trials,full_key_success_rate_percent,avg_k0_bit_correct_percent,avg_k1_bit_correct_percent,avg_full_key_bit_correct_percent,avg_wrong_bit_count,avg_k0_recovered_count,avg_k1_recovered_count,avg_kx_recovered_count
lut_lu_6,500,1,0,0.0,82.8125,85.9375,84.375,20.0,60.0,63.0,61.0
lut_lu_6,1000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,1500,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,2000,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,2500,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,3000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,3500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,4000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,4500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,5000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,5500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,6000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,6500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,7000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,7500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,8000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,8500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,9000,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,9500,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,10000,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,10500,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,11000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,11500,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,12000,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,12500,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,13000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,13500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,14000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,14500,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,15000,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,15500,1,0,0.0,98.4375,100.0,99.21875,1.0,64.0,64.0,64.0
lut_lu_6,16000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,16500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,17000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,17500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,18000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,18500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,19000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,19500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,20000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,20500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,21000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,21500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,22000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,22500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,23000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,23500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,24000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,24500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,25000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
