sbox_type,trace_count,trial_id,seed,full_key_match,k0_bit_correct_percent,k1_bit_correct_percent,full_key_bit_correct_percent,wrong_bit_count,k0_recovered_count,k1_recovered_count,kx_recovered_count,recovered_k0_hex,recovered_k1_hex,targets_used,targets_skipped
lut_lu_6,500,0,,0,82.8125,85.9375,84.375,20,60,63,61,4106055811820000,490E1D540B0A0818,126,194
lut_lu_6,1000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,72,226
lut_lu_6,1500,0,,0,98.4375,100.0,99.21875,1,64,64,64,0706050C03020100,0F0E0D0C0B0A0908,66,123
lut_lu_6,2000,0,,0,98.4375,100.0,99.21875,1,64,64,64,0306050403020100,0F0E0D0C0B0A0908,56,44
lut_lu_6,2500,0,,0,98.4375,100.0,99.21875,1,64,64,64,0306050403020100,0F0E0D0C0B0A0908,56,44
lut_lu_6,3000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,55,45
lut_lu_6,3500,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,4000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,55,45
lut_lu_6,4500,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,55,45
lut_lu_6,5000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,5500,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,6000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,6500,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,7000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,7500,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,8000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,8500,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,9000,0,,0,98.4375,100.0,99.21875,1,64,64,64,0306050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,9500,0,,0,98.4375,100.0,99.21875,1,64,64,64,0306050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,10000,0,,0,98.4375,100.0,99.21875,1,64,64,64,0306050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,10500,0,,0,98.4375,100.0,99.21875,1,64,64,64,0306050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,11000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,11500,0,,0,98.4375,100.0,99.21875,1,64,64,64,0306050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,12000,0,,0,98.4375,100.0,99.21875,1,64,64,64,0306050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,12500,0,,0,98.4375,100.0,99.21875,1,64,64,64,0306050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,13000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,13500,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,14000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
