sbox_type,trace_count,n_trials,successful_trials,full_key_success_rate_percent,avg_k0_bit_correct_percent,avg_k1_bit_correct_percent,avg_full_key_bit_correct_percent,avg_wrong_bit_count,avg_k0_recovered_count,avg_k1_recovered_count,avg_kx_recovered_count
lut_lu_6,50000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,100000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,150000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,200000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,250000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,300000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,350000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,400000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,450000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,500000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,550000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,600000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,650000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,700000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,750000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,800000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,850000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,900000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,950000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,1000000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
