sbox_type,trace_count,trial_id,seed,full_key_match,k0_bit_correct_percent,k1_bit_correct_percent,full_key_bit_correct_percent,wrong_bit_count,k0_recovered_count,k1_recovered_count,kx_recovered_count,recovered_k0_hex,recovered_k1_hex,targets_used,targets_skipped
lut_lu_6,50000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,100000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,150000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,200000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,250000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,300000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,350000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,400000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,450000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,500000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,550000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,600000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,650000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,700000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,750000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,800000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,850000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,900000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,950000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
lut_lu_6,1000000,0,,1,100.0,100.0,100.0,0,64,64,64,0706050403020100,0F0E0D0C0B0A0908,54,46
