trace_count,k0_success_rate_percent,k1_success_rate_percent,full_key_success_rate_percent,known_bit_correct_percent,k0_recovered_count,k1_recovered_count,kx_recovered_count,k0_correct_recovered_count,k1_correct_recovered_count,full_key_match,targets_used,targets_skipped,recovered_k0_hex,recovered_k1_hex
50000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
100000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
150000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
200000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
250000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
300000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
350000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
400000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
450000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
500000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
550000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
600000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
650000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
700000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
750000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
800000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
850000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
900000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
950000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
1000000,100.0,100.0,100.0,100.0,64,64,64,64,64,1,54,46,0706050403020100,0F0E0D0C0B0A0908
