sbox_type,trace_count,k0_success_rate_percent,k1_success_rate_percent,full_key_success_rate_percent,known_bit_correct_percent,k0_recovered_count,k1_recovered_count,kx_recovered_count,full_key_match,targets_used,targets_skipped
lut_ascon,50000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,100000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,150000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,200000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,250000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,300000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,350000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,400000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,450000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,500000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,550000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,600000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,650000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,700000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,750000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,800000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,850000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,900000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,950000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_ascon,1000000,100.0,100.0,100.0,100.0,64,64,64,1,148,109
lut_bilgin,50000,89.0625,100.0,94.53125,95.2755905511811,63,64,63,0,178,142
lut_bilgin,100000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,150000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,200000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,250000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,300000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,350000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,400000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,450000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,500000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
