KEY                              PLAINTEXT                        CIPHERTEXT                       Decryption   
10a58869d74be5a374cf867cfb473859 00000000000000000000000000000000 411f923ed45b3121918ceccfe3391611 OK            
caea65cdbb75e9169ecd22ebe6e54675 00000000000000000000000000000000 ac902e2aabbdacc17e41e811d2ceb8ea OK            
a2e2fa9baf7d20822ca9f0542f764a41 00000000000000000000000000000000 794472ab370c787f95addb689fbd993f OK            
b6364ac4e1de1e285eaf144a2415f7a0 00000000000000000000000000000000 03cfadb7f0e2e14073d12239b1752dcd OK            
64cf9c7abc50b888af65f49d521944b2 00000000000000000000000000000000 c1753dd64f64ca7f7af3a3a92f23c003 OK            
47d6742eefcc0465dc96355e851b64d9 00000000000000000000000000000000 58cde77258fc0a1bf4cec453cc91255a OK            
3eb39790678c56bee34bbcdeccf6cdb5 00000000000000000000000000000000 914bfe5fc7740568eda23090b602dc0f OK            
64110a924f0743d500ccadae72c13427 00000000000000000000000000000000 7ecbeb96cb5ded36d9112cd6a86cae30 OK            
18d8126516f8a12ab1a36d9f04d68e51 00000000000000000000000000000000 152b120848b475198c1b4f5b2c1c5e5b OK            
f530357968578480b398a3c251cd1093 00000000000000000000000000000000 966a793e4fab858dc8fe30b4bf4521fb OK            
da84367f325d42d601b4326964802e8e 00000000000000000000000000000000 28bfb12b4a2336b3577962850d645b5f OK            
e37b1c6aa2846f6fdb413f238b089f23 00000000000000000000000000000000 d12787b38c6b8e76deea50fe181031d4 OK            
6c002b682483e0cabcc731c253be5674 00000000000000000000000000000000 5129bca2fd019d900233e34d0859afde OK            
143ae8ed6555aba96110ab58893a8ae1 00000000000000000000000000000000 4791e3472bb7079d2ccbd39b84df03a4 OK            
b69418a85332240dc82492353956ae0c 00000000000000000000000000000000 a45b7e9b8a5c7be4f8c4bcb1739fe443 OK            
71b5c08a1993e1362e4d0ce9b22b78d5 00000000000000000000000000000000 d250ca15c24fb8f6747f0923b49e5653 OK            
e234cdca2606b81f29408d5f6da21206 00000000000000000000000000000000 d164424e7a1633c2e94130036eb42979 OK            
13237c49074a3da078dc1d828bb78c6f 00000000000000000000000000000000 fff338c3059375fcc714e8edce0dc8fc OK            
3071a2a48fe6cbd04f1a129098e308f8 00000000000000000000000000000000 85c6d9be98a0a50822769c7f1e3c87cb OK            
90f42ec0f68385f2ffc5dfc03a654dce 00000000000000000000000000000000 a0bc1e6ae0648d829d5c524d9e3a33f4 OK            
