KEY                              PLAINTEXT                        CIPHERTEXT                       Decryption   
10a58869d74be5a374cf867cfb473859 00000000000000000000000000000000 60ed10588ce98db4534bfa83c6b4ca75 OK            
caea65cdbb75e9169ecd22ebe6e54675 00000000000000000000000000000000 caeb0a0a08b57340060b61fe4f99d449 OK            
a2e2fa9baf7d20822ca9f0542f764a41 00000000000000000000000000000000 2b7322a89134d9dfd223b85fc9058601 OK            
b6364ac4e1de1e285eaf144a2415f7a0 00000000000000000000000000000000 b9bbeebab32403d9e2e90f4d1dc7c73a OK            
64cf9c7abc50b888af65f49d521944b2 00000000000000000000000000000000 de5e79de8b2faae3c2c1226a37b8213d OK            
47d6742eefcc0465dc96355e851b64d9 00000000000000000000000000000000 3b26ceb82706af729b626c77a3ea48ae OK            
3eb39790678c56bee34bbcdeccf6cdb5 00000000000000000000000000000000 45392e2a83d43191d6c65489322fa48d OK            
64110a924f0743d500ccadae72c13427 00000000000000000000000000000000 70345eb430cceaca8a8e8b281de30162 OK            
18d8126516f8a12ab1a36d9f04d68e51 00000000000000000000000000000000 eb0abf6ffc9064bb7828e5db99a91cae OK            
f530357968578480b398a3c251cd1093 00000000000000000000000000000000 4d91393cf74c2cea2f91e1bec8455372 OK            
da84367f325d42d601b4326964802e8e 00000000000000000000000000000000 3fa24ba02e844d5b0c89e189ff0ef338 OK            
e37b1c6aa2846f6fdb413f238b089f23 00000000000000000000000000000000 5143ee0e266e0aaabd32e43270a8e2d7 OK            
6c002b682483e0cabcc731c253be5674 00000000000000000000000000000000 ffc9430b7a82f6e8ad0c59e1917d3101 OK            
143ae8ed6555aba96110ab58893a8ae1 00000000000000000000000000000000 025aebc94a3b6164d2a6803494959a81 OK            
b69418a85332240dc82492353956ae0c 00000000000000000000000000000000 975fce341629f84f8c60696a300bf5c3 OK            
71b5c08a1993e1362e4d0ce9b22b78d5 00000000000000000000000000000000 aed79b3fcd0cafd30ce311ea840b5719 OK            
e234cdca2606b81f29408d5f6da21206 00000000000000000000000000000000 aecfa1ece716ac5af48f821edebd085c OK            
13237c49074a3da078dc1d828bb78c6f 00000000000000000000000000000000 f7d57f892390b1dce5e4ee94510f5f56 OK            
3071a2a48fe6cbd04f1a129098e308f8 00000000000000000000000000000000 4f73cff1c0800cbed07daec531903d01 OK            
90f42ec0f68385f2ffc5dfc03a654dce 00000000000000000000000000000000 01170a9f1e15f17d96887bb1c667863e OK            
