trace_count,k0_success_rate_percent,k1_success_rate_percent,full_key_success_rate_percent,known_bit_correct_percent,k0_recovered_count,k1_recovered_count,kx_recovered_count,k0_correct_recovered_count,k1_correct_recovered_count,full_key_match,targets_used,targets_skipped,recovered_k0_hex,recovered_k1_hex
50000,81.25,82.8125,82.03125,82.03125,64,64,64,52,53,0,110,100,074675246392D100,0F4E7D2C2B9AD908
100000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
150000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
200000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
250000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
300000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
350000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
400000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
450000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
500000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
550000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
600000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
650000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
700000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
750000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
800000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
850000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
900000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
950000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
1000000,82.8125,82.8125,82.8125,82.8125,64,64,64,53,53,0,110,100,074675242392D100,0F4E7D2C2B9AD908
