trace_count,k0_success_rate_percent,k1_success_rate_percent,full_key_success_rate_percent,known_bit_correct_percent,k0_recovered_count,k1_recovered_count,kx_recovered_count,k0_correct_recovered_count,k1_correct_recovered_count,full_key_match,targets_used,targets_skipped,recovered_k0_hex,recovered_k1_hex
50000,95.3125,100.0,97.65625,97.65625,64,64,64,61,64,0,53,46,07060D0C03020108,0F0E0D0C0B0A0908
100000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
150000,95.3125,100.0,97.65625,97.65625,64,64,64,61,64,0,53,46,07060D0C03020108,0F0E0D0C0B0A0908
200000,95.3125,100.0,97.65625,97.65625,64,64,64,61,64,0,53,46,07060D0C03020108,0F0E0D0C0B0A0908
250000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
300000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
350000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
400000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
450000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
500000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
550000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
600000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
650000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
700000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
750000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
800000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
850000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
900000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
950000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
1000000,93.75,98.4375,96.09375,96.09375,64,64,64,60,63,0,55,69,07060D0C83020108,0F0E0D0C8B0A0908
