sbox_type,trace_count,k0_recovered_count,k1_recovered_count,kx_recovered_count,known_key_bits_count,k0_correct_recovered_count,k1_correct_recovered_count,correct_key_bits_count,k0_wrong_recovered_count,k1_wrong_recovered_count,wrong_recovered_key_bits_count,recovered_key_bits_percent,correct_key_bits_percent,known_bit_accuracy_percent,all_bits_recovered,full_key_match,targets_used,targets_skipped,recovered_k0_hex,recovered_k1_hex
lut_lu_4,50000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,64,67,07060504030A0100,0F0E0D0C0B020908
lut_lu_4,100000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,60,71,07060504030A0100,0F0E0D0C0B020908
lut_lu_4,150000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,62,129,07060504030A0100,0F0E0D0C0B020908
lut_lu_4,200000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,62,129,07060504030A0100,0F0E0D0C0B020908
lut_lu_4,250000,64,64,64,128,63,63,126,1,1,2,100.0,98.4375,98.4375,1,0,62,129,07060504030A0100,0F0E0D0C0B020908
lut_lu_4,300000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,350000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,400000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,450000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,500000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,550000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,600000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,650000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,700000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,70,121,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,750000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,800000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,850000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,900000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,950000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
lut_lu_4,1000000,64,64,64,128,63,62,125,1,2,3,100.0,97.65625,97.65625,1,0,62,129,07060504030A0100,0F0E0D0C0B020900
