sbox_type,trace_count,k0_recovered_count,k1_recovered_count,kx_recovered_count,known_key_bits_count,k0_correct_recovered_count,k1_correct_recovered_count,correct_key_bits_count,k0_wrong_recovered_count,k1_wrong_recovered_count,wrong_recovered_key_bits_count,recovered_key_bits_percent,correct_key_bits_percent,known_bit_accuracy_percent,all_bits_recovered,full_key_match,targets_used,targets_skipped,recovered_k0_hex,recovered_k1_hex
lut_ascon,50000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,100000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,150000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,200000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,250000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,300000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,350000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,400000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,450000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,500000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,550000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,600000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,650000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,700000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,750000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,800000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,850000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,900000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,950000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
lut_ascon,1000000,64,64,64,128,64,64,128,0,0,0,100.0,100.0,100.0,1,1,148,109,0706050403020100,0F0E0D0C0B0A0908
